Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU Defense v UWG,0.0,20.922,BU Defensive Possessions v UWG,1,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,20.922,8.175,BU Defensive Possessions v UWG,2,+2,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UWG,29.097,21.037999999999997,BU Defensive Possessions v UWG,3,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UWG,50.135,20.772,BU Defensive Possessions v UWG,4,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,70.907,18.986000000000004,BU Defensive Possessions v UWG,5,"PaintTouch, +3",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,89.893,22.974000000000004,BU Defensive Possessions v UWG,6,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,112.867,17.11800000000001,BU Defensive Possessions v UWG,7,"PaintTouch, +2",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UWG,129.985,20.15299999999999,BU Defensive Possessions v UWG,8,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,150.138,12.228999999999985,BU Defensive Possessions v UWG,9,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,162.367,10.593000000000018,BU Defensive Possessions v UWG,10,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UWG,172.96,16.782999999999987,BU Defensive Possessions v UWG,11,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,189.743,21.655,BU Defensive Possessions v UWG,12,Turnover,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UWG,211.398,18.769000000000005,BU Defensive Possessions v UWG,13,"-2, OREB, PaintTouch",,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,230.167,11.260999999999996,BU Defensive Possessions v UWG,14,-2,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,241.428,20.122000000000014,BU Defensive Possessions v UWG,15,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,261.55,14.231999999999971,BU Defensive Possessions v UWG,16,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,275.782,17.935000000000002,BU Defensive Possessions v UWG,17,+3,,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,293.717,10.677999999999997,BU Defensive Possessions v UWG,18,PaintTouch,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UWG,304.395,14.648000000000025,BU Defensive Possessions v UWG,19,"PaintTouch, PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UWG,319.043,12.379999999999995,BU Defensive Possessions v UWG,20,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,331.423,19.370000000000005,BU Defensive Possessions v UWG,21,"PaintTouch, Turnover",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UWG,350.793,12.930000000000007,BU Defensive Possessions v UWG,22,Turnover,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UWG,363.723,16.801999999999964,BU Defensive Possessions v UWG,23,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,380.525,25.760000000000048,BU Defensive Possessions v UWG,24,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,406.285,12.813999999999965,BU Defensive Possessions v UWG,25,-3,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,419.099,21.321000000000026,BU Defensive Possessions v UWG,26,+2,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,440.42,17.18399999999997,BU Defensive Possessions v UWG,27,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,457.604,20.388000000000034,BU Defensive Possessions v UWG,28,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,477.992,21.072000000000003,BU Defensive Possessions v UWG,29,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,499.064,22.37299999999999,BU Defensive Possessions v UWG,30,"PaintTouch, -2, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,521.437,9.360000000000014,BU Defensive Possessions v UWG,31,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UWG,530.797,20.15300000000002,BU Defensive Possessions v UWG,32,"PaintTouch, -3",,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,550.95,24.358999999999924,BU Defensive Possessions v UWG,33,"-3, OREB",,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,575.309,12.980000000000018,BU Defensive Possessions v UWG,34,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,588.289,10.978000000000065,BU Defensive Possessions v UWG,35,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,599.267,8.826999999999998,BU Defensive Possessions v UWG,36,,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
BU Defense v UWG,608.094,13.980999999999995,BU Defensive Possessions v UWG,37,,,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
BU Defense v UWG,622.075,17.15199999999993,BU Defensive Possessions v UWG,38,"PaintTouch, -3",,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,639.227,21.807000000000016,BU Defensive Possessions v UWG,39,-3,,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,661.034,21.888000000000034,BU Defensive Possessions v UWG,40,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,682.922,20.052999999999997,BU Defensive Possessions v UWG,41,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,702.975,12.579999999999927,BU Defensive Possessions v UWG,42,PaintTouch,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UWG,715.555,27.495000000000005,BU Defensive Possessions v UWG,43,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,743.05,11.495000000000005,BU Defensive Possessions v UWG,44,"PaintTouch, -2, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,754.545,10.528999999999996,BU Defensive Possessions v UWG,45,"OREB, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UWG,765.074,14.748000000000047,BU Defensive Possessions v UWG,46,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,779.822,32.283000000000015,BU Defensive Possessions v UWG,47,"PaintTouch, -2, OREB",,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,812.105,9.259999999999991,BU Defensive Possessions v UWG,48,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,821.365,16.649999999999977,BU Defensive Possessions v UWG,49,"PaintTouch, -2, OREB",,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,838.015,7.642000000000053,BU Defensive Possessions v UWG,50,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UWG,845.657,7.942000000000007,BU Defensive Possessions v UWG,51,"OREB, PaintTouch, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UWG,853.599,12.779999999999973,BU Defensive Possessions v UWG,52,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,866.379,33.632999999999925,BU Defensive Possessions v UWG,53,"PaintTouch, PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,900.012,13.180000000000064,BU Defensive Possessions v UWG,54,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,913.192,20.052999999999997,BU Defensive Possessions v UWG,55,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,933.245,24.509000000000015,BU Defensive Possessions v UWG,56,"-2, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,957.754,10.995000000000005,BU Defensive Possessions v UWG,57,"-2, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,968.749,10.995000000000005,BU Defensive Possessions v UWG,58,PaintTouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UWG,979.744,26.910999999999945,BU Defensive Possessions v UWG,59,"PaintTouch, +3",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,1006.655,12.079000000000065,BU Defensive Possessions v UWG,60,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,1018.734,24.408000000000015,BU Defensive Possessions v UWG,61,+2,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,1043.142,18.702999999999975,BU Defensive Possessions v UWG,62,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,1061.845,18.753999999999905,BU Defensive Possessions v UWG,63,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,1080.599,13.212999999999965,BU Defensive Possessions v UWG,64,-2,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,1093.812,14.665000000000191,BU Defensive Possessions v UWG,65,+3,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,1108.477,38.437999999999874,BU Defensive Possessions v UWG,66,"-2, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,1146.915,14.94900000000007,BU Defensive Possessions v UWG,67,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,1161.864,26.409999999999854,BU Defensive Possessions v UWG,68,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,1188.274,12.396000000000186,BU Defensive Possessions v UWG,69,-2,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,1200.67,10.662000000000035,BU Defensive Possessions v UWG,70,-2,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,1211.332,21.95699999999988,BU Defensive Possessions v UWG,71,+2,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UWG,1233.289,21.688000000000102,BU Defensive Possessions v UWG,72,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,1254.977,21.521999999999935,BU Defensive Possessions v UWG,73,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,1276.499,19.069999999999936,BU Defensive Possessions v UWG,74,PaintTouch,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UWG,1295.569,29.529999999999973,BU Defensive Possessions v UWG,75,-2,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,1325.099,20.955000000000155,BU Defensive Possessions v UWG,76,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,1346.054,20.15300000000002,BU Defensive Possessions v UWG,77,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,1366.207,19.36999999999989,BU Defensive Possessions v UWG,78,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,1385.577,24.008000000000038,BU Defensive Possessions v UWG,79,"PaintTouch, +2",,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,1409.585,29.180000000000064,BU Defensive Possessions v UWG,80,+3,,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,1438.765,17.083999999999833,BU Defensive Possessions v UWG,81,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,1455.849,25.276000000000067,BU Defensive Possessions v UWG,82,-3,,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UWG,1505.134,17.4849999999999,BU Defensive Possessions v UWG,83,+2,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,